123
32 123,1b
36 123,1b
40 123,1b
44 123,1b
48 123,2b
56 123,0.5b
58 123,0.5b
60 123,1b
64 123,0.5b
66 123,0.5b
68 123,0.5b
70 123,0.5b
72 123,0.5b
74 123,0.5b
76 123,0.5b
78 123,0.5b
80 123,0.5b
82 123,0.5b
84 123,0.5b
86 123,0.5b
88 123,0.5b
90 123,0.5b
92 123,0.5b
94 123,0.5b
96 123,1b
100 123,1b
104 123,1b
108 123,1b
112 123,1b
116 123,1b
120 123,1b
124 123,1b
128 123,2b
136 123,2b
144 123,2b
152.5 123,0.5b
156 123,1b
160 123,1b
164 123,1b
168 123,1b
172 123,1b
176 123,2b
184.5 123,0.5b
186 123,0.5b
188 123,1b
192 123,2b
200 123,2b
208 123,2b
216 123,2b
224 123,2b
232 123,2b
240 123,2b
248 123,2b
